ID,Latitude,Longitude,Date/Hour,Type,Map,City,Reliability,Number comments,Number thumbs up
101577,46.75738,23.543217,16-03-2020 23:12,Minor,Cluj,Cluj-Napoca,6,0,1
101882,46.793884,23.659077,17-03-2020 11:38,Minor,Cluj,Cluj-Napoca,9,1,3
101964,46.795644,23.717878,17-03-2020 13:39,Minor,Cluj,,7,0,1
102674,46.75577,23.596433,18-03-2020 10:32,Major,Cluj,Cluj-Napoca,7,0,1
103020,46.78767,23.580338,18-03-2020 19:02,Minor,Cluj,Cluj-Napoca,8,0,3
103072,46.778852,23.606225,18-03-2020 19:41,Minor,Cluj,Cluj-Napoca,6,0,1
103073,46.76699,23.550831,18-03-2020 19:11,Minor,Cluj,Cluj-Napoca,6,0,1
103467,46.748495,23.50878,19-03-2020 10:48,Major,Cluj,Florești,10,3,36
103520,46.751771,23.522903,19-03-2020 11:28,Minor,Cluj,,10,0,6
103770,46.787369,23.727988,19-03-2020 17:32,Minor,Cluj,Sânnicoară,6,0,1
103958,46.763776,23.573604,19-03-2020 21:06,Minor,Cluj,Cluj-Napoca,10,0,8
104584,46.767257,23.567741,20-03-2020 16:31,Major,Cluj,Cluj-Napoca,6,0,1
104585,46.780476,23.671804,20-03-2020 16:26,Major,Cluj,Cluj-Napoca,10,1,14
105049,46.743902,23.474409,21-03-2020 09:31,Minor,Cluj,Florești,10,0,7
106049,46.728857,23.670118,22-03-2020 20:14,Minor,Cluj,,8,1,2
