ID,Latitude,Longitude,Date/Hour,Type,Map,City,Reliability,Number comments,Number thumbs up
239340,46.743794,23.476218,29-06-2020 14:51,Minor,Cluj,Florești,8,0,3
239480,46.68719,23.631853,29-06-2020 16:49,Major,Cluj,,10,0,33
239562,46.762649,23.573072,29-06-2020 17:29,Minor,Cluj,Cluj-Napoca,6,0,1
240273,46.767526,23.600439,30-06-2020 08:23,Minor,Cluj,Cluj-Napoca,10,0,11
240863,46.770845,23.566901,30-06-2020 17:22,Major,Cluj,Cluj-Napoca,6,0,2
241553,46.732231,23.680409,01-07-2020 07:35,Major,Cluj,,10,4,16
241625,46.783385,23.613098,01-07-2020 08:42,Major,Cluj,Cluj-Napoca,7,0,1
241626,46.785034,23.565139,01-07-2020 08:25,Major,Cluj,Cluj-Napoca,10,0,5
241771,46.718947,23.657787,01-07-2020 10:22,Minor,Cluj,,7,1,0
241772,46.72812,23.661663,01-07-2020 10:31,Minor,Cluj,,7,0,1
242589,46.768296,23.599329,01-07-2020 22:18,Major,Cluj,Cluj-Napoca,10,0,7
243067,46.752949,23.527902,02-07-2020 08:19,Major,Cluj,Florești,10,3,40
243296,46.759367,23.55342,02-07-2020 11:56,Minor,Cluj,Cluj-Napoca,8,0,2
245179,46.769074,23.604984,03-07-2020 18:29,Major,Cluj,Cluj-Napoca,10,0,9
246304,46.744164,23.463917,04-07-2020 12:56,Minor,Cluj,Florești,10,0,8
246790,46.796792,23.654902,04-07-2020 19:13,Minor,Cluj,Cluj-Napoca,6,0,1
246791,46.72796,23.599722,04-07-2020 19:51,Minor,Cluj,,10,0,6
