ID,Latitude,Longitude,Date/Hour,Type,Map,City,Reliability,Number comments,Number thumbs up
267939,44.434652,25.987545,20-07-2020 02:08,Minor,București,București,10,1,6
268017,44.434427,26.052942,20-07-2020 06:21,Minor,București,București,8,0,2
268082,44.452709,26.113804,20-07-2020 07:55,Minor,București,București,10,1,9
268291,44.441967,26.099044,20-07-2020 08:28,Major,București,București,8,0,3
268292,44.387651,26.226339,20-07-2020 08:31,Major,București,Glina,9,0,4
268293,44.437358,25.953761,20-07-2020 08:45,Minor,București,,10,1,34
268294,44.516697,26.017463,20-07-2020 09:11,Minor,București,București,6,0,0
268295,44.412869,26.024414,20-07-2020 09:49,Minor,București,București,10,0,12
268296,44.46481,26.05487,20-07-2020 10:12,Major,București,București,10,3,41
268357,44.437226,25.955313,20-07-2020 11:37,Minor,București,,10,0,10
268358,44.469323,26.142511,20-07-2020 11:50,Minor,București,București,10,0,6
268421,44.462301,26.101355,20-07-2020 12:46,Minor,București,București,10,0,10
268422,44.448723,26.041288,20-07-2020 12:54,Minor,București,București,10,3,61
268472,44.431039,26.060913,20-07-2020 13:24,Minor,București,București,8,0,3
268520,44.462885,26.234776,20-07-2020 14:05,Minor,București,,7,0,1
268521,44.430739,26.234893,20-07-2020 14:28,Major,București,,10,0,9
268522,44.409501,26.182545,20-07-2020 14:35,Minor,București,București,10,0,9
268523,44.521166,26.028198,20-07-2020 14:59,Minor,București,București,9,0,3
268576,44.450422,26.235815,20-07-2020 15:01,Major,București,,6,0,1
268577,44.475899,26.168659,20-07-2020 15:21,Minor,București,,6,0,1
268579,44.442528,26.093745,20-07-2020 15:36,Minor,București,București,10,0,8
268580,44.463525,26.123606,20-07-2020 15:40,Minor,București,București,10,0,4
268581,44.3806,26.22617,20-07-2020 15:37,Minor,București,Glina,7,0,2
268582,44.434498,26.057586,20-07-2020 15:56,Minor,București,București,10,0,12
268725,44.480495,26.103398,20-07-2020 16:24,Minor,București,București,10,0,19
268727,44.43559,25.966928,20-07-2020 16:35,Minor,București,,6,0,0
268728,44.478099,26.226862,20-07-2020 16:57,Minor,București,,10,0,4
268729,44.426287,26.020851,20-07-2020 17:06,Minor,București,București,10,1,22
