ID,Latitude,Longitude,Date/Hour,Type,Map,City,Reliability,Number comments,Number thumbs up
129944,44.495858,26.001039,13-04-2020 08:21,Major,București,București,10,0,13
130514,44.505036,26.081419,13-04-2020 08:52,Minor,București,București,7,0,1
130515,44.339234,26.080794,13-04-2020 09:03,Major,București,Jilava,9,1,3
130516,44.433776,26.005494,13-04-2020 10:10,Minor,București,București,10,0,7
130517,44.424087,26.046583,13-04-2020 11:07,Major,București,București,7,1,1
130518,44.411701,26.014862,13-04-2020 11:26,Major,București,București,7,0,2
130520,44.444854,26.037599,13-04-2020 12:16,Minor,București,București,6,0,1
130521,44.429468,26.120041,13-04-2020 12:30,Minor,București,București,6,0,0
130522,44.379903,26.159167,13-04-2020 13:39,Minor,București,Popești Leordeni,6,0,1
130523,44.421808,26.111926,13-04-2020 14:50,Minor,București,București,10,1,15
130607,44.462213,26.056893,13-04-2020 15:14,Minor,București,București,9,0,3
131290,44.439117,26.115245,13-04-2020 16:32,Minor,București,București,6,0,0
131291,44.424563,26.01167,13-04-2020 16:41,Minor,București,București,7,0,2
131292,44.424271,26.138491,13-04-2020 17:21,Minor,București,București,6,0,1
131293,44.418378,26.127673,13-04-2020 17:29,Major,București,București,8,0,3
131294,44.343819,26.16244,13-04-2020 17:17,Major,București,,6,0,2
131296,44.441726,26.017275,13-04-2020 19:33,Major,București,București,6,0,1
131297,44.450981,26.068329,13-04-2020 21:08,Minor,București,București,6,0,0
132912,44.361943,26.205795,14-04-2020 08:13,Major,București,Popești Leordeni,8,0,8
132913,44.494061,26.079215,14-04-2020 09:09,Major,București,,10,3,100
132914,44.392543,26.097436,14-04-2020 09:23,Minor,București,București,9,1,2
132915,44.434332,26.035312,14-04-2020 11:25,Minor,București,București,10,0,9
132916,44.493726,26.079232,14-04-2020 11:29,Major,București,București,10,1,19
132917,44.427118,26.060185,14-04-2020 11:50,Minor,București,București,6,0,1
132920,44.341776,26.163786,14-04-2020 11:53,Minor,București,Popești Leordeni,9,0,4
132922,44.501181,26.208565,14-04-2020 15:22,Minor,București,Afumați,6,0,1
132924,44.490702,26.090049,14-04-2020 19:27,Minor,București,București,7,0,1
132925,44.435621,25.976035,14-04-2020 19:23,Major,București,București,6,0,0
132926,44.395261,26.204022,14-04-2020 19:40,Minor,București,București,8,0,3
