ID,Latitude,Longitude,Date/Hour,Type,Map,City,Reliability,Number comments,Number thumbs up
93636,44.447289,26.063321,09-03-2020 00:08,Minor,București,București,7,0,2
93637,44.451543,26.137068,09-03-2020 00:03,Minor,București,București,6,0,0
93752,44.43361,26.006224,09-03-2020 05:19,Major,București,București,10,7,67
94158,44.433904,26.005707,09-03-2020 07:38,Major,București,București,10,6,14
94159,44.432366,26.160875,09-03-2020 07:38,Minor,București,București,10,0,5
94160,44.409666,26.095385,09-03-2020 07:35,Minor,București,București,9,0,3
94161,44.381566,26.145746,09-03-2020 07:46,Minor,București,București,6,0,0
94162,44.49806,25.99763,09-03-2020 07:54,Minor,București,București,10,0,6
94163,44.477487,26.057354,09-03-2020 08:00,Major,București,București,10,1,10
94164,44.412269,26.084506,09-03-2020 08:09,Minor,București,București,6,0,0
94165,44.384691,26.227504,09-03-2020 08:10,Major,București,Glina,10,0,4
94166,44.377372,26.216484,09-03-2020 08:02,Major,București,Popești Leordeni,9,0,3
94167,44.439595,26.093518,09-03-2020 08:21,Minor,București,București,10,2,29
94169,44.395704,26.222998,09-03-2020 08:30,Minor,București,,8,0,2
94170,44.480071,26.03542,09-03-2020 08:35,Minor,București,București,10,0,7
94172,44.523674,26.014551,09-03-2020 08:33,Minor,București,Mogoșoaia,7,2,0
94173,44.530852,26.069254,09-03-2020 08:34,Minor,București,București,10,1,14
94174,44.452673,26.094074,09-03-2020 08:54,Major,București,București,10,3,32
94175,44.454314,26.058755,09-03-2020 08:50,Minor,București,București,10,0,4
94176,44.452262,26.08196,09-03-2020 09:04,Minor,București,București,9,0,3
94177,44.445235,26.13267,09-03-2020 09:29,Minor,București,București,10,0,4
94178,44.433578,26.082194,09-03-2020 09:21,Minor,București,București,9,0,4
94179,44.379451,25.986113,09-03-2020 09:19,Minor,București,Bragadiru,10,0,6
94180,44.466025,26.100983,09-03-2020 09:37,Minor,București,București,8,0,2
94181,44.40443,26.097009,09-03-2020 09:41,Minor,București,București,10,1,3
94182,44.481501,26.100784,09-03-2020 09:52,Minor,București,,10,0,8
94183,44.427627,26.117805,09-03-2020 09:54,Minor,București,București,6,0,0
94184,44.491583,26.079172,09-03-2020 10:23,Minor,București,București,10,1,7
94185,44.424208,26.004715,09-03-2020 10:37,Major,București,București,7,0,1
94186,44.457383,26.128997,09-03-2020 10:33,Minor,București,București,8,0,2
94187,44.520273,25.968835,09-03-2020 10:36,Minor,București,Chitila,7,0,2
94188,44.487795,26.126218,09-03-2020 10:45,Minor,București,Voluntari,8,0,3
94189,44.391583,26.143725,09-03-2020 11:01,Major,București,București,6,0,0
94191,44.442468,26.165648,09-03-2020 11:17,Minor,București,București,6,0,1
94192,44.385937,26.002802,09-03-2020 11:40,Major,București,Bragadiru,10,2,14
94247,44.40438,26.142304,09-03-2020 11:38,Minor,București,București,10,1,5
