ID,Latitude,Longitude,Date/Hour,Type,Map,City,Reliability,Number comments,Number thumbs up
350121,45.058263,24.450489,21-09-2020 10:40,Minor,DN7 Pitești-Sibiu,,10,0,7
350337,44.895611,24.835013,21-09-2020 14:31,Minor,DN7 Pitești-Sibiu,Bascov,10,2,34
350393,44.977643,24.662241,21-09-2020 15:47,Minor,DN7 Pitești-Sibiu,,10,5,52
350539,45.746239,24.200534,21-09-2020 17:40,Minor,DN7 Pitești-Sibiu,,10,2,35
351193,44.999703,24.596728,22-09-2020 08:48,Minor,DN7 Pitești-Sibiu,,7,0,2
351402,45.10339,24.384382,22-09-2020 11:56,Major,DN7 Pitești-Sibiu,Râmnicu Vâlcea,10,1,27
351519,45.205155,24.372558,22-09-2020 13:51,Minor,DN7 Pitești-Sibiu,,6,0,0
351565,44.885653,24.792061,22-09-2020 14:04,Major,DN7 Pitești-Sibiu,Glâmbocu,10,7,94
351704,45.02802,24.502793,22-09-2020 16:23,Minor,DN7 Pitești-Sibiu,Dedulești,8,0,5
352315,44.894745,24.83316,23-09-2020 06:54,Minor,DN7 Pitești-Sibiu,Bascov,7,0,1
352840,44.984794,24.648281,24-09-2020 10:26,Minor,DN7 Pitești-Sibiu,"Zamfirești, Cotmeana",10,5,33
352873,44.89512,24.833642,24-09-2020 14:55,Minor,DN7 Pitești-Sibiu,Bascov,9,0,8
352914,45.140499,24.366536,24-09-2020 17:37,Minor,DN7 Pitești-Sibiu,Bujoreni,10,0,7
353032,45.05204,24.454629,25-09-2020 10:56,Minor,DN7 Pitești-Sibiu,,10,5,32
353048,44.894686,24.832726,25-09-2020 12:51,Major,DN7 Pitești-Sibiu,Bascov,10,0,27
353049,44.996311,24.627358,25-09-2020 13:13,Major,DN7 Pitești-Sibiu,,10,14,171
353055,45.374989,24.295339,25-09-2020 14:28,Major,DN7 Pitești-Sibiu,Călinești,10,8,61
353068,45.148334,24.370882,25-09-2020 16:17,Minor,DN7 Pitești-Sibiu,Bujoreni,10,5,34
353127,45.09584,24.382423,26-09-2020 01:19,Major,DN7 Pitești-Sibiu,Râmnicu Vâlcea,10,0,11
353145,45.061431,24.425876,26-09-2020 04:35,Major,DN7 Pitești-Sibiu,Aldești,10,8,34
353158,45.37529,24.295586,26-09-2020 08:23,Major,DN7 Pitești-Sibiu,Călinești,10,9,143
353201,45.577564,24.250908,26-09-2020 12:38,Minor,DN7 Pitești-Sibiu,,10,0,54
353205,44.888748,24.815108,26-09-2020 14:21,Major,DN7 Pitești-Sibiu,Bascov,10,3,54
353206,45.499965,24.296496,26-09-2020 14:15,Major,DN7 Pitești-Sibiu,Câinenii Mari,10,1,18
353264,45.298671,24.290369,26-09-2020 22:37,Minor,DN7 Pitești-Sibiu,,7,0,1
353314,45.560839,24.260227,27-09-2020 06:22,Minor,DN7 Pitești-Sibiu,Lazaret,8,0,3
353386,44.999955,24.596841,27-09-2020 16:35,Major,DN7 Pitești-Sibiu,,10,1,49
353429,45.276962,24.307627,27-09-2020 23:31,Major,DN7 Pitești-Sibiu,,8,0,5
