ID,Latitude,Longitude,Date/Hour,Type,Map,City,Reliability,Number comments,Number thumbs up
277552,45.637289,24.260257,27-07-2020 05:12,Minor,DN7 Pitești-Sibiu,Boița,10,1,13
277838,45.032622,24.476138,27-07-2020 10:50,Major,DN7 Pitești-Sibiu,Milcoiu,10,6,52
277906,45.023387,24.51895,27-07-2020 11:53,Major,DN7 Pitești-Sibiu,,6,0,1
278015,45.533912,24.271577,27-07-2020 13:47,Minor,DN7 Pitești-Sibiu,,7,0,2
278337,45.69209,24.253357,27-07-2020 18:19,Major,DN7 Pitești-Sibiu,Tălmaciu II,10,3,26
278338,44.997578,24.606465,27-07-2020 18:51,Minor,DN7 Pitești-Sibiu,Lintești,10,6,22
278551,45.092,24.383709,27-07-2020 21:19,Major,DN7 Pitești-Sibiu,Râmnicu Vâlcea,10,5,20
278689,45.355489,24.271446,28-07-2020 00:33,Minor,DN7 Pitești-Sibiu,Proieni,6,0,0
279035,45.643089,24.263471,28-07-2020 09:52,Major,DN7 Pitești-Sibiu,,10,7,58
279114,45.519434,24.273837,28-07-2020 10:10,Major,DN7 Pitești-Sibiu,Râu Vadului,10,7,76
279115,45.067465,24.40947,28-07-2020 10:56,Minor,DN7 Pitești-Sibiu,"Linia, Budești",10,1,10
279885,45.269373,24.316687,28-07-2020 21:50,Major,DN7 Pitești-Sibiu,Căciulata,10,0,9
280267,44.885456,24.801399,29-07-2020 07:26,Major,DN7 Pitești-Sibiu,Bascov,10,4,66
280342,45.043408,24.4728,29-07-2020 08:22,Minor,DN7 Pitești-Sibiu,Milcoiu,10,2,22
280742,45.353949,24.278323,29-07-2020 15:52,Major,DN7 Pitești-Sibiu,,10,4,25
281115,45.016772,24.545262,29-07-2020 20:09,Major,DN7 Pitești-Sibiu,,10,16,97
281210,44.99929,24.605465,29-07-2020 22:51,Minor,DN7 Pitești-Sibiu,Lintești,7,0,1
281650,45.016335,24.545617,30-07-2020 08:26,Major,DN7 Pitești-Sibiu,,10,19,46
282213,45.136334,24.365854,30-07-2020 17:01,Major,DN7 Pitești-Sibiu,Râmnicu Vâlcea,9,1,8
282214,45.446958,24.30381,30-07-2020 17:14,Minor,DN7 Pitești-Sibiu,,10,0,6
282215,44.885998,24.80651,30-07-2020 17:36,Minor,DN7 Pitești-Sibiu,Bascov,8,0,2
283426,45.360138,24.293588,31-07-2020 15:25,Major,DN7 Pitești-Sibiu,,10,3,45
283651,44.891171,24.822901,31-07-2020 18:43,Minor,DN7 Pitești-Sibiu,Bascov,10,0,12
283743,45.663183,24.261357,31-07-2020 19:53,Minor,DN7 Pitești-Sibiu,Tălmaciu,6,0,1
283991,44.922143,24.719612,31-07-2020 23:29,Major,DN7 Pitești-Sibiu,Prislopu Mare,10,1,26
284051,45.071955,24.402556,01-08-2020 00:20,Minor,DN7 Pitești-Sibiu,"Linia, Budești",10,0,14
284347,45.014733,24.543857,01-08-2020 08:55,Minor,DN7 Pitești-Sibiu,Dedulești,6,0,1
284406,45.155187,24.375213,01-08-2020 09:11,Minor,DN7 Pitești-Sibiu,Bujoreni,10,0,9
284407,45.6946,24.251686,01-08-2020 09:39,Minor,DN7 Pitești-Sibiu,,10,0,44
284472,44.887036,24.777855,01-08-2020 10:28,Minor,DN7 Pitești-Sibiu,Brăileni,6,0,1
284698,45.43613,24.297222,01-08-2020 14:50,Minor,DN7 Pitești-Sibiu,Balota,10,1,8
285671,45.25856,24.327888,02-08-2020 10:14,Minor,DN7 Pitești-Sibiu,Căciulata,9,0,7
285812,45.090934,24.384001,02-08-2020 13:53,Major,DN7 Pitești-Sibiu,Râmnicu Vâlcea,10,2,28
285855,45.007314,24.56057,02-08-2020 14:20,Minor,DN7 Pitești-Sibiu,Morărești,10,0,12
286123,44.890678,24.822293,02-08-2020 18:12,Minor,DN7 Pitești-Sibiu,Bascov,10,0,20
286185,45.484821,24.294155,02-08-2020 19:15,Minor,DN7 Pitești-Sibiu,,10,7,46
286186,45.581581,24.252685,02-08-2020 19:51,Major,DN7 Pitești-Sibiu,,10,5,19
286308,45.618159,24.266392,02-08-2020 21:35,Minor,DN7 Pitești-Sibiu,,10,0,12
