ID,Latitude,Longitude,Date/Hour,Type,Map,City,Reliability,Number comments,Number thumbs up
305851,45.603415,24.261455,17-08-2020 06:35,Major,DN7 Pitești-Sibiu,,10,4,73
305974,45.565887,24.25097,17-08-2020 08:38,Minor,DN7 Pitești-Sibiu,,6,0,1
306237,44.92139,24.72032,17-08-2020 12:22,Minor,DN7 Pitești-Sibiu,Prislopu Mare,10,0,27
306477,45.229958,24.339691,17-08-2020 16:16,Major,DN7 Pitești-Sibiu,Călimănești,10,0,11
306634,45.483938,24.292765,17-08-2020 18:49,Minor,DN7 Pitești-Sibiu,,8,0,2
306801,45.146745,24.36991,17-08-2020 20:46,Minor,DN7 Pitești-Sibiu,Bujoreni,10,0,9
307053,45.419811,24.290171,18-08-2020 01:51,Minor,DN7 Pitești-Sibiu,,10,2,12
307104,45.610711,24.259911,18-08-2020 03:22,Minor,DN7 Pitești-Sibiu,,10,1,9
307395,45.07427,24.396751,18-08-2020 10:40,Minor,DN7 Pitești-Sibiu,"Racovița, Budești",10,0,19
307651,45.530331,24.270068,18-08-2020 15:54,Major,DN7 Pitești-Sibiu,,8,1,2
307724,45.686766,24.256384,18-08-2020 16:24,Minor,DN7 Pitești-Sibiu,,10,0,7
308491,45.007576,24.561725,19-08-2020 08:42,Major,DN7 Pitești-Sibiu,Morărești,10,7,93
308619,45.581769,24.252722,19-08-2020 10:32,Major,DN7 Pitești-Sibiu,,10,3,46
308862,45.355231,24.27355,19-08-2020 14:06,Major,DN7 Pitești-Sibiu,Proieni,10,6,90
308922,45.130539,24.364285,19-08-2020 15:56,Major,DN7 Pitești-Sibiu,Râmnicu Vâlcea,10,0,11
309076,45.307281,24.270965,19-08-2020 17:53,Major,DN7 Pitești-Sibiu,,6,1,0
309161,44.885493,24.801756,19-08-2020 18:21,Major,DN7 Pitești-Sibiu,Bascov,10,7,75
309239,45.518439,24.277578,19-08-2020 19:23,Major,DN7 Pitești-Sibiu,Râu Vadului,7,0,2
309306,44.890813,24.756924,19-08-2020 20:02,Major,DN7 Pitești-Sibiu,Valea Ursului,10,4,96
309307,45.012881,24.572423,19-08-2020 20:54,Major,DN7 Pitești-Sibiu,,10,0,14
309586,45.033603,24.475772,20-08-2020 02:47,Minor,DN7 Pitești-Sibiu,Milcoiu,6,0,0
309794,44.889045,24.767818,20-08-2020 08:41,Major,DN7 Pitești-Sibiu,Valea Ursului,10,9,146
310006,45.698503,24.249371,20-08-2020 11:27,Minor,DN7 Pitești-Sibiu,,8,0,3
310135,44.8931,24.829506,20-08-2020 13:28,Minor,DN7 Pitești-Sibiu,Bascov,9,0,8
310136,45.504776,24.284103,20-08-2020 13:28,Major,DN7 Pitești-Sibiu,,8,0,5
310137,45.585627,24.253656,20-08-2020 13:27,Major,DN7 Pitești-Sibiu,,9,0,10
310202,45.240013,24.344578,20-08-2020 14:53,Minor,DN7 Pitești-Sibiu,Călimănești,10,0,18
310450,45.362838,24.292007,20-08-2020 17:26,Major,DN7 Pitești-Sibiu,,6,0,0
310451,45.63611,24.260374,20-08-2020 17:21,Minor,DN7 Pitești-Sibiu,Boița,10,1,6
310452,45.554018,24.264442,20-08-2020 17:56,Minor,DN7 Pitești-Sibiu,,10,3,16
310816,44.976235,24.663362,20-08-2020 22:19,Minor,DN7 Pitești-Sibiu,,10,4,31
311251,45.07528,24.394785,21-08-2020 09:27,Minor,DN7 Pitești-Sibiu,"Racovița, Budești",10,2,18
311553,45.147146,24.370155,21-08-2020 14:55,Major,DN7 Pitești-Sibiu,Bujoreni,7,0,3
311554,45.512453,24.282902,21-08-2020 14:48,Major,DN7 Pitești-Sibiu,,10,0,7
311622,44.885983,24.788896,21-08-2020 15:11,Major,DN7 Pitești-Sibiu,Glâmbocu,10,10,68
311623,45.542708,24.267201,21-08-2020 15:01,Major,DN7 Pitești-Sibiu,,10,0,15
